skills,experience,cgpa,projects,score
"embedded systems, python, machine learning, pcb design",1.6,7.71,smart home automation,93.35
"embedded systems, python, machine learning, matlab, iot",2.5,8.69,iot weather station,100.0
"machine learning, c programming",2.6,7.57,smart home automation,100.0
"embedded systems, python, machine learning, pcb design",2.9,9.16,smart home automation,100.0
"embedded systems, python, machine learning, iot",1.1,9.9,robotics arm,100.0
"python, verilog, embedded systems, c programming",2.0,7.66,ai based fault detection,100.0
"embedded systems, python, machine learning, pcb design, iot",4.2,9.78,robotics arm,100.0
"embedded systems, python, machine learning, verilog, signal processing",1.5,9.94,iot weather station,100.0
"embedded systems, python, machine learning, iot",2.1,8.45,image processing system,100.0
"embedded systems, python, machine learning, signal processing, vlsi design",3.1,7.51,robotics arm,100.0
"embedded systems, python, machine learning, c programming",3.6,7.66,wireless communication model,100.0
"embedded systems, python, machine learning, verilog",1.3,9.91,signal analyzer,100.0
"embedded systems, python, machine learning, c programming, iot",4.1,8.91,iot weather station,100.0
"embedded systems, python, machine learning, signal processing, iot",1.0,8.14,signal analyzer,100.0
"matlab, vlsi design, signal processing, c programming",2.2,7.77,iot weather station,100.0
"embedded systems, python, machine learning, c programming, pcb design",4.0,7.54,robotics arm,100.0
"vlsi design, c programming",2.2,7.81,smart home automation,100.0
"embedded systems, verilog, matlab, signal processing",1.0,7.82,signal analyzer,84.51
"matlab, vlsi design, iot, signal processing",1.0,7.81,smart home automation,83.39
"machine learning, python, c programming",1.4,7.74,iot weather station,89.65
"embedded systems, python, machine learning, pcb design, signal processing",1.7,9.29,ai based fault detection,100.0
"embedded systems, python, machine learning, vlsi design",2.1,9.95,ai based fault detection,100.0
"embedded systems, python, machine learning, vlsi design",4.5,9.16,iot weather station,100.0
"signal processing, embedded systems",2.8,7.62,image processing system,100.0
"iot, verilog",2.9,7.49,robotics arm,100.0
"embedded systems, python, machine learning, c programming, matlab",1.2,9.02,signal analyzer,100.0
"embedded systems, python, machine learning, vlsi design",2.7,9.33,fpga based design,100.0
"embedded systems, python, machine learning, signal processing, iot",3.9,7.56,robotics arm,100.0
"embedded systems, python, machine learning, matlab, vlsi design",2.7,8.43,robotics arm,100.0
"embedded systems, python, machine learning, vlsi design, verilog",3.3,7.93,fpga based design,100.0
"embedded systems, python, machine learning, signal processing",4.5,8.73,signal analyzer,100.0
"python, verilog, pcb design, machine learning",1.1,7.82,smart home automation,88.04
"embedded systems, python, machine learning, vlsi design",2.1,8.72,iot weather station,100.0
"iot, matlab, verilog",2.5,7.27,image processing system,75.73
"matlab, vlsi design, machine learning",2.7,7.77,smart home automation,100.0
"verilog, vlsi design, matlab",2.4,7.74,wireless communication model,100.0
